"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_printermenu_queue_printing","Print Queue ({0}) - Printing","Print Queue ({0}) - Printing","Print Queue ({0}) - tisk","Warteschlange drucken ({0}) - Drucken","Печать очередь ({0}) - печать","Drukuj kolejkę ({0}) - drukowanie","Nyomtatási sor ({0}) - Nyomtatás","Print queue ({0}) - stampa","Imprimir cola ({0}) - Impresión","File d'attente d'impression ({0}) - impression","打印队列（{0}） - 打印","印刷キュー（{0}） - 印刷","Imprimir fila ({0}) - Impressão","打印队列（{0}） - 打印",
"str_printermenu_queue_paused","Print Queue ({0}) - Paused","Print Queue ({0}) - Paused","Print Queue ({0}) - pozastavená","Warteschlange drucken ({0}) - Pause","Печать очередь ({0}) - приостановлен","Drukuj kolejkę ({0}) - przerwa","Nyomtatási sor ({0}) - szüneteltetés","Print queue ({0}) - pausa","Imprimir cola ({0}) - Paused","Print Fitre ({0}) - USAUDE","打印队列（{0}） - 暂停","Queue（{0}） - 一時停止","Print Fileue ({0}) - parado","打印队列（{0}） - 暂停",
"str_printermenu_queue_empty","Print Queue (Empty)","Print Queue (Empty)","Tisk fronty (prázdná)","Warteschlange drucken (leer)","Печать очередь (пусто)","Drukuj kolejka (pusta)","Nyomtatási sor (üres)","Print coda (vuota)","Impresión de cola (vacía)","File d'attente d'impression (vide)","打印队列（空）","キューを印刷する（空）","Fila de impressão (vazio)","打印队列（空）",
"str_printermenu_no_models","No Models Installed. Please Install one to start printing.","No Models Installed. Please Install one to start printing.","Nainstalované žádné modely. Nainstalujte prosím jeden pro zahájení tisku.","Keine Modelle installiert. Bitte installieren Sie eine, um mit dem Drucken zu beginnen.","Модели не установлены. Пожалуйста, установите один, чтобы начать печать.","Brak zainstalowanych modeli. Zainstaluj jeden, aby rozpocząć drukowanie.","Nincs telepítve modell. Kérjük, telepítsen egyet a nyomtatás megkezdéséhez.","Nessun modello installato. Si prega di installare uno per avviare la stampa.","No hay modelos instalados. Instale uno para comenzar a imprimir.","Aucun modèle installé. Veuillez en installer un pour commencer l'impression.","没有安装模型。请安装一个开始打印。","モデルはインストールされていません。印刷を開始するには、インストールしてください。","Nenhum modelo instalado. Por favor, instale um para começar a imprimir.","没有安装模型。请安装一个开始打印。",
"str_printermenu_no_usb","No USB Installed. Please Install one to start printing.","No USB Installed. Please Install one to start printing.","Nainstalováno žádné USB. Nainstalujte prosím jeden pro zahájení tisku.","Kein USB installiert. Bitte installieren Sie eine, um mit dem Drucken zu beginnen.","Не установлен USB. Пожалуйста, установите один, чтобы начать печать.","Brak zainstalowanego USB. Zainstaluj jeden, aby rozpocząć drukowanie.","Nincs telepítve USB. Kérjük, telepítsen egyet a nyomtatás megkezdéséhez.","Nessun USB installato. Si prega di installare uno per avviare la stampa.","No hay USB instalado. Instale uno para comenzar a imprimir.","Aucun USB installé. Veuillez en installer un pour commencer l'impression.","没有安装USB。请安装一个开始打印。","USBはインストールされていません。印刷を開始するには、インストールしてください。","Nenhum USB instalado. Por favor, instale um para começar a imprimir.","没有安装USB。请安装一个开始打印。",
"str_printermenu_start","Add to Queue","Add to Queue","Přidat do fronty","In die Warteschlange hinzufügen","Добавить в очередь","Dodaj do kolejki","Hozzáadás a sorhoz","Aggiungi alla coda","Agregar a la cola","Ajouter à la file d'attente","添加到队列","キューに追加します","Adicione à fila","添加到队列",
"str_printermenu_resume","Resume Queue","Resume Queue","Obnovit frontu","Wiederaufnahme der Warteschlange","Резюме очередь","Wznowić kolejkę","Folytassa a várólistát","Riprendi la coda","Reanudar la cola","Fixe de curriculum vitae","恢复队列","キューを再開します","Retomar a fila","恢复队列",
"str_printermenu_stop","Stop Print","Stop Print","Zastavte tisk","Drucken stoppen","Остановите печать","Zatrzymaj druk","A nyomtatás megállítása","Smettere di stampa","Impresión de parada","Stop imprimer","停止打印","印刷を停止します","Pare de imprimir","停止打印",
"str_printermenu_clear_queue","Clear Queue","Clear Queue","Jasná fronta","Klare Warteschlange","Чистая очередь","Wyraźna kolejka","Egyértelmű sor","Coda chiara","Cola clara","File d'attente claire","清除队列","キューをクリアします","Fila clara","清除队列",
"str_printermenu_remove_from_queue","Remove from Queue","Remove from Queue","Vyjměte z fronty","Aus der Warteschlange nehmen","Удалить из очереди","Wyjmij z kolejki","Távolítsa el a sorból","Togliere dalla coda","Retirar de la cola","Supprimer de la file d'attente","从队列中取出","キューから取り外します","Retire da fila","从队列中取出",
"str_printermenu_filament_tier","Filament Tier: ","Filament Tier:","Vrchol vlákna:","Filamentstufe:","Уровень нити:","Warunki filamentu:","Szálaműszál:","Tier del filamento:","Nivel de filamento:","Tier filamentaire:","灯丝层：","フィラメント層：","Nível de filamento:","灯丝层：",
"str_printermenu_filament_amount","Filament Amount: ","Filament Amount:","Částka vlákna:","Filamentmenge:","Сумма нити:","Kwota filamentu:","Szálamérő összege:","Importo del filamento:","Cantidad del filamento:","Montant du filament:","细丝金额：","フィラメント量：","Valor do filamento:","细丝金额：",
"str_printermenu_select","Select Blueprint","Select Blueprint","Vyberte Blueprint","Wählen Sie Blueprint","Выберите Blueprint","Wybierz plan","Válassza ki a BLUEPRint lehetőséget","Seleziona il progetto","Seleccionar BluePrint","Sélectionnez Blueprint","选择蓝图","BluePrintを選択します","Selecione Blueprint","选择蓝图",
"str_dismantle","Dismantle","Dismantle","Demontovat","Demontieren","Демонтировать","Zdemontować","Szétszerel","Smantellare","Desmantelar","Démanteler","拆除","解体します","Desmantelar","拆除",
"str_open_printer_menu","Open Printer Menu","Open Printer Menu","Otevřená nabídka tiskárny","Öffnen Sie das Druckermenü","Открытое меню принтера","Otwórz menu drukarki","Nyissa meg a nyomtató menüt","Apri menu della stampante","Abrir menú de impresora","Ouvrir le menu de l'imprimante","打开打印机菜单","プリンターメニューを開きます","Abra o menu da impressora","打开打印机菜单",
"str_folder_desc","3D Model Folder - Stored Model: ","3D Model Folder - Stored Model:","Složka 3D modelu - uložený model:","3D -Modellordner - gespeichertes Modell:","Папка 3D -модели - сохранившаяся модель:","Folder modelu 3D - Model przechowywany:","3D modell mappa - tárolt modell:","Cartella modello 3D - Modello memorizzato:","Carpeta de modelo 3D - Modelo almacenado:","Dossier du modèle 3D - Modèle stocké:","3D模型文件夹 - 存储的模型：","3Dモデルフォルダー - 保存されたモデル：","Pasta do modelo 3D - Modelo armazenado:","3D模型文件夹 - 存储的模型：",
"str_folder_name","3D Model Folder - ","3D Model Folder -","Složka 3D modelu -","3D -Modellordner -","3D -модель папка -","Folder modelu 3D -","3D modell mappa -","Cartella modello 3D -","Carpeta de modelo 3D -","Dossier modèle 3D -","3D模型文件夹 -","3Dモデルフォルダー -","Pasta do modelo 3D -","3D模型文件夹 -",
"str_printer_notification_title","3D Printer Notification","3D Printer Notification","Oznámení 3D tiskárny","3D -Druckerbenachrichtigung","3D -принтер уведомление","Powiadomienie o drukarce 3D","3D nyomtató értesítés","Notifica della stampante 3D","Notificación de impresora 3D","Notification de l'imprimante 3D","3D打印机通知","3Dプリンター通知","Notificação da impressora 3D","3D打印机通知",
"str_printer_queue_added","Item added to print queue - {0}","Item added to print queue - {0}","Položka přidána do tiskové fronty - {0}","Element hinzugefügt, um die Warteschlange zu drucken - {0}","Элемент добавлен в очередь печати - {0}","Element dodany do kolejki drukowania - {0}","Tétel hozzáadva a nyomtatási sorhoz - {0}","Elemento aggiunto alla coda di stampa - {0}","Artículo agregado a la cola de impresión - {0}","Élément ajouté à l'imprimé file d'attente - {0}","添加到打印队列的项目 -  {0}","印刷キューに追加されたアイテム -  {0}","Item adicionado à fila de impressão - {0}","添加到打印队列的项目 -  {0}",
"str_printer_queue_removed","Item removed from print queue - {0}","Item removed from print queue - {0}","Položka odstraněna z tiskové fronty - {0}","Element aus Druckwarteschlange entfernt - {0}","Элемент удален из очереди печати - {0}","Pozycja usunięta z kolejki drukowania - {0}","Az elem eltávolítva a nyomtatási sorból - {0}","Elemento rimosso dalla coda di stampa - {0}","Artículo eliminado de la cola de impresión - {0}","Élément supprimé de la file d'attente d'impression - {0}","从打印队列中删除的项目 -  {0}","印刷キューから削除されたアイテム -  {0}","Item removido da fila de impressão - {0}","从打印队列中删除的项目 -  {0}",
"str_printer_queue_cleared","Print queue cleared.","Print queue cleared.","Vyčistila se fronta tisku.","Druckwarteschlange gelöscht.","Печатная очередь очищена.","Oczyszczona kolejka do wydruku.","A nyomtatási sor törölt.","Stampa la coda cancellata.","Impresión de la cola despejada.","La file d'attente imprimée effacée.","打印队列清除。","キューをプリントしました。","Fila de impressão limpa.","打印队列清除。",
"str_printer_no_power","No power! Please plug the 3D Printer into an active power source before printing!","No power! Please plug the 3D Printer into an active power source before printing!","Žádná síla! Před tiskem prosím připojte 3D tiskárnu do aktivního zdroje energie!","Keine Kraft! Bitte schließen Sie den 3D -Drucker vor dem Drucken in eine aktive Stromquelle an!","Нет силы! Пожалуйста, подключите 3D -принтер к активному источнику питания перед печати!","Brak mocy! Przed wydrukowaniem podłącz drukarkę 3D do aktywnego źródła zasilania!","Nincs hatalom! Kérjük, nyomtatás előtt csatlakoztassa a 3D nyomtatót egy aktív áramforrásba!","Nessun potere! Si prega di collegare la stampante 3D a una fonte di alimentazione attiva prima della stampa!","¡No hay poder! ¡Conecte la impresora 3D en una fuente de alimentación activa antes de imprimir!","Pas de pouvoir! Veuillez brancher l'imprimante 3D sur une source d'alimentation active avant d'imprimer!","没有力量！打印之前，请将3D打印机插入活动电源！","パワーはありません！印刷する前に、3Dプリンターをアクティブな電源に接続してください！","Sem poder! Por favor, conecte a impressora 3D a uma fonte de energia ativa antes de imprimir!","没有力量！打印之前，请将3D打印机插入活动电源！",
"str_printer_no_usb","USB not installed! Please install a USB before trying to start a print job.","USB not installed! Please install a USB before trying to start a print job.","USB není nainstalován! Před pokusem o zahájení tiskové úlohy nainstalujte USB.","USB nicht installiert! Bitte installieren Sie einen USB, bevor Sie versuchen, einen Druckauftrag zu starten.","USB не установлен! Пожалуйста, установите USB, прежде чем попытаться начать работу печати.","USB nie zainstalowane! Zainstaluj USB przed próbą rozpoczęcia pracy drukowania.","Az USB nem telepítve! Kérjük, telepítsen egy USB -t, mielőtt megpróbálna nyomtatási munkát elindítani.","USB non installato! Si prega di installare un USB prima di provare a avviare un lavoro di stampa.","USB no instalado! Instale un USB antes de intentar iniciar un trabajo de impresión.","USB non installé! Veuillez installer un USB avant d'essayer de démarrer un travail d'impression.","USB未安装！在尝试开始打印作业之前，请安装USB。","USBがインストールされていません！印刷ジョブを開始しようとする前に、USBをインストールしてください。","USB não instalado! Instale um USB antes de tentar iniciar um trabalho de impressão.","USB未安装！在尝试开始打印作业之前，请安装USB。",
"str_printer_folder_empty","Folder is empty! Please install a folder with the model you want to print.","Folder is empty! Please install a folder with the model you want to print.","Složka je prázdná! Nainstalujte prosím složku s modelem, který chcete vytisknout.","Ordner ist leer! Bitte installieren Sie einen Ordner mit dem Modell, das Sie drucken möchten.","Папка пуста! Пожалуйста, установите папку с моделью, которую хотите распечатать.","Folder jest pusty! Zainstaluj folder z modelem, który chcesz wydrukować.","A mappa üres! Kérjük, telepítsen egy mappát a nyomtatni kívánt modellel.","La cartella è vuota! Installa una cartella con il modello che si desidera stampare.","¡La carpeta está vacía! Instale una carpeta con el modelo que desea imprimir.","Le dossier est vide! Veuillez installer un dossier avec le modèle que vous souhaitez imprimer.","文件夹是空的！请安装带有您要打印的型号的文件夹。","フォルダーは空です！印刷するモデルのフォルダーをインストールしてください。","Pasta está vazia! Instale uma pasta com o modelo que você deseja imprimir.","文件夹是空的！请安装带有您要打印的型号的文件夹。",
"str_printer_no_filament","Filament not installed! Please install the correct filament for the 3D Print.","Filament not installed! Please install the correct filament for the 3D Print.","Vlákno není nainstalováno! Nainstalujte prosím správné vlákno pro 3D tisk.","Filament nicht installiert! Bitte installieren Sie das richtige Filament für den 3D -Druck.","Филамент не установлен! Пожалуйста, установите правильную нить для 3D -печати.","Filament nie został zainstalowany! Zainstaluj prawidłowy żarnik dla wydruku 3D.","Az izzószál nem telepítve! Kérjük, telepítse a megfelelő szálát a 3D -s nyomtatáshoz.","Filamento non installato! Si prega di installare il filamento corretto per la stampa 3D.","Filamento no instalado! Instale el filamento correcto para la impresión 3D.","Filament non installé! Veuillez installer le filament correct pour l'impression 3D.","细丝未安装！请安装3D打印的正确灯丝。","フィラメントがインストールされていません！ 3Dプリントの正しいフィラメントをインストールしてください。","Filamento não instalado! Instale o filamento correto para a impressão 3D.","细丝未安装！请安装3D打印的正确灯丝。",
"str_printer_not_enough_filament","Not enough filament! Please install a new roll of filament to print this item.","Not enough filament! Please install a new roll of filament to print this item.","Nedostatek vlákna! Pro tisk této položky nainstalujte novou roli vlákna.","Nicht genug Filament! Bitte installieren Sie eine neue Filamentrolle, um diesen Artikel zu drucken.","Недостаточно нить! Пожалуйста, установите новый рулон нити, чтобы распечатать этот элемент.","Za mało filamentu! Zainstaluj nową rolkę filamentu, aby wydrukować ten element.","Nem elég szál! Kérjük, telepítsen egy új szálas tekercset az elem kinyomtatásához.","Non abbastanza filamento! Si prega di installare un nuovo rotolo di filamento per stampare questo articolo.","¡No hay suficiente filamento! Instale un nuevo rollo de filamento para imprimir este artículo.","Pas assez de filament! Veuillez installer un nouveau rouleau de filament pour imprimer cet article.","不够的细丝！请安装新的细丝以打印此物品。","フィラメントが十分ではありません！このアイテムを印刷するために、フィラメントの新しいロールをインストールしてください。","Filamento insuficiente! Instale um novo rolo de filamento para imprimir este item.","不够的细丝！请安装新的细丝以打印此物品。",
"str_printer_wrong_filament","Incorrect filament installed! Please install the correct tier of filament to print this item.","Incorrect filament installed! Please install the correct tier of filament to print this item.","Nainstalováno nesprávné vlákno! Nainstalujte správnou úroveň vlákna pro tisk této položky.","Falsches Filament installiert! Bitte installieren Sie die richtige Filamentebene, um diesen Artikel zu drucken.","Неправильная нить установлена! Пожалуйста, установите правильный уровень нити, чтобы распечатать этот элемент.","Zainstalowany nieprawidłowy filament! Zainstaluj prawidłowy poziom filamentu, aby wydrukować ten element.","Helytelen szálak telepítve! Kérjük, telepítse a szál megfelelő szintjét az elem kinyomtatásához.","Filamento errato installato! Si prega di installare il livello corretto del filamento per stampare questo articolo.","Filamento incorrecto instalado! Instale el nivel correcto del filamento para imprimir este artículo.","Filament incorrect installé! Veuillez installer le niveau correct de Filament pour imprimer cet élément.","安装了不正确的细丝！请安装正确的灯丝层以打印此物品。","誤ったフィラメントがインストールされました！このアイテムを印刷するには、フィラメントの正しい層をインストールしてください。","Filamento incorreto instalado! Instale o nível correto do filamento para imprimir este item.","安装了不正确的细丝！请安装正确的灯丝层以打印此物品。",
"str_printer_no_model","No model selected! Please select a model from the list.","No model selected! Please select a model from the list.","Žádný model je vybrán! Vyberte prosím model ze seznamu.","Kein Modell ausgewählt! Bitte wählen Sie ein Modell aus der Liste.","Не выбрана модель! Пожалуйста, выберите модель из списка.","Brak modelu! Wybierz model z listy.","Nincs kiválasztott modell! Kérjük, válasszon egy modellt a listából.","Nessun modello selezionato! Seleziona un modello dall'elenco.","¡Ningún modelo seleccionado! Seleccione un modelo de la lista.","Aucun modèle sélectionné! Veuillez sélectionner un modèle dans la liste.","没有选择模型！请从列表中选择一个模型。","選択されたモデルはありません！リストからモデルを選択してください。","Nenhum modelo selecionado! Selecione um modelo na lista.","没有选择模型！请从列表中选择一个模型。",
"str_printer_no_space_drop","Not enough space in printer! Item will be dropped on the ground.","Not enough space in printer! Item will be dropped on the ground.","V tiskárně není dost místa! Položka bude upuštěna na zemi.","Nicht genug Platz im Drucker! Gegenstand wird auf den Boden fallen lassen.","Недостаточно места в принтере! Предмет будет сброшен на землю.","Za mało miejsca w drukarce! Przedmiot zostanie upuszczony na ziemię.","Nincs elég hely a nyomtatóban! A tételt a földre dobják.","Non abbastanza spazio nella stampante! L'articolo verrà lasciato cadere a terra.","¡No hay suficiente espacio en la impresora! El artículo se dejará caer en el suelo.","Pas assez d'espace dans l'imprimante! L'article sera abandonné sur le sol.","打印机中没有足够的空间！物品将丢在地面上。","プリンターには十分なスペースがありません！アイテムは地面に落とされます。","Não há espaço suficiente na impressora! O item será descartado no chão.","打印机中没有足够的空间！物品将丢在地面上。",
"str_printer_no_space","Not enough space in printer! Please empty the cargo or make room for the new item.","Not enough space in printer! Please empty the cargo or make room for the new item.","V tiskárně není dost místa! Vyprázdněte náklad nebo si vytvořte prostor pro novou položku.","Nicht genug Platz im Drucker! Bitte leeren Sie die Fracht oder machen Sie Platz für den neuen Artikel.","Недостаточно места в принтере! Пожалуйста, опустошите груз или освободите место для нового предмета.","Za mało miejsca w drukarce! Opróżnij ładunek lub zrobić miejsce na nowy przedmiot.","Nincs elég hely a nyomtatóban! Kérjük, ürítse ki a rakományt, vagy tegyen helyet az új cikkhez.","Non abbastanza spazio nella stampante! Svuota il carico o fai spazio per il nuovo articolo.","¡No hay suficiente espacio en la impresora! Vacíe la carga o haga espacio para el nuevo artículo.","Pas assez d'espace dans l'imprimante! Veuillez vider la cargaison ou faire de la place pour le nouvel article.","打印机中没有足够的空间！请清空货物或为新物品腾出空间。","プリンターには十分なスペースがありません！貨物を空にしたり、新しいアイテムのスペースを作ってください。","Não há espaço suficiente na impressora! Esvazie a carga ou abre espaço para o novo item.","打印机中没有足够的空间！请清空货物或为新物品腾出空间。",
